,Year,FieldID,cropType,Reported_Irrigation,Reported_Yield
0,2016,NB1,Corn,300.984585,12.42867013
1,2017,NB1,Corn,297.5753567,10.18450195
2,2018,NB1,Corn,369.860074,13.10118082
3,2019,NB1,Corn,255.2008917,10.07622772
4,2020,NB1,Corn,342.5637282,8.171677439
5,2021,NB1,Corn,286.76703,10.24771795
6,2022,NB1,Corn,453.6148092,8.145449522
7,2021,NC1,Corn,214.122,17.357501
8,2022,NC1,Corn,186.182,15.97616404
9,2021,NC2,Corn,194.818,18.52766961
10,2022,NC2,Corn,168.402,14.18661308
11,2016,NW1,Corn,294.1983728,7.686124718
12,2017,NW1,Corn,289.394254,8.164279822
13,2019,NW1,Corn,309.2324968,14.07497631
14,2020,NW1,Corn,453.6585705,12.44413788
15,2021,NW1,Corn,366.5445044,11.60887959
16,2022,NW1,Corn,429.9696626,9.591347514
17,2016,NW2,Corn,257.7089484,12.05878925
18,2017,NW2,Corn,266.6232128,9.406407073
19,2018,NW2,Corn,250.0482146,13.7851242
20,2019,NW2,Corn,358.6291625,13.91357374
21,2020,NW2,Corn,407.117048,11.6593179
22,2021,NW2,Corn,284.0329125,13.50266971
23,2022,NW2,Corn,457.3548893,10.08833292
24,2016,NW3,Corn,356.6780321,12.29618552
25,2017,NW3,Corn,292.1521234,12.44750043
26,2018,NW3,Corn,402.2633694,14.16912781
27,2019,NW3,Corn,302.8272813,9.676756372
28,2020,NW3,Corn,341.6010426,6.62086778
29,2022,NW3,Corn,513.3620397,14.70242879
30,2016,NW4,Corn,345.4474051,12.98954405
31,2017,NW4,Corn,382.4909775,13.66743483
32,2018,NW4,Corn,333.8974424,15.00774864
33,2019,NW4,Corn,373.7486373,11.80659774
34,2020,NW4,Corn,433.9664659,12.5712424
35,2021,NW4,Corn,381.2992593,13.10252585
36,2022,NW4,Corn,353.3052722,8.379483244
37,2016,NW5,Corn,287.1446957,11.51069303
38,2017,NW5,Corn,281.9834584,13.01846201
39,2018,NW5,Corn,384.6062006,14.20342585
40,2019,NW5,Corn,263.7774275,12.68893177
41,2020,NW5,Corn,328.6845495,4.621493487
42,2022,NW5,Corn,390.011099,14.40450655
43,2018,NW6,Corn,386.2184418,16.87396582
44,2019,NW6,Corn,322.2314524,9.522078912
45,2022,NW6,Corn,841.5148733,16.58613124
46,2020,NW7,Corn,390.5812131,14.69301364
47,2021,NW7,Corn,418.9401049,16.56730094
48,2022,NW7,Corn,509.4207344,
49,2016,SW1,Corn,437.7484481,
50,2017,SW1,Corn,405.2701742,
51,2018,SW1,Corn,436.7543701,
52,2019,SW1,Corn,409.6183171,
53,2020,SW1,Corn,588.4081792,
54,2022,SW1,Corn,524.0662904,
55,2016,WC1,Corn,526.542,
56,2018,WC1,Corn,273.812,
57,2020,WC1,Corn,360.68,
58,2017,WC10,Corn,418.846,
59,2016,WC11,Corn,374.904,
60,2018,WC11,Corn,458.47,
61,2020,WC16,Corn,251.714,
62,2016,WC17,Corn,289.56,
63,2017,WC19,Corn,536.702,
64,2018,WC19,Corn,466.09,
65,2020,WC19,Corn,516.89,
66,2017,WC2,Corn,456.946,
67,2019,WC2,Corn,283.718,
68,2016,WC20,Corn,530.86,
69,2018,WC20,Corn,599.44,
70,2021,WC20,Corn,711.454,
71,2016,WC21,Corn,373.126,
72,2017,WC21,Corn,548.132,
73,2016,WC22,Corn,299.974,
74,2018,WC22,Corn,269.24,
75,2020,WC22,Corn,281.686,
76,2019,WC23,Corn,220.218,
77,2018,WC24,Corn,424.688,
78,2019,WC25,Corn,321.564,
79,2020,WC26,Corn,562.61,
80,2019,WC27,Corn,755.904,
81,2019,WC3,Corn,288.544,
82,2016,WC4,Corn,413.004,
83,2018,WC4,Corn,374.65,
