FieldID,date,NDVI
WC1,2007-07-05,
WC2,2007-07-05,
WC3,2007-07-05,
WC6,2007-07-05,
WC4,2007-07-05,
WC5,2007-07-05,
WC26,2007-07-05,
SW4,2007-07-05,
NW6,2007-07-05,
NW7,2007-07-05,
NB1,2007-07-05,
WC20,2007-07-05,
WC19,2007-07-05,
SW3,2007-07-05,
WC18,2007-07-05,
WC17,2007-07-05,
SW5,2007-07-05,
SW6,2007-07-05,
WC12,2007-07-05,
WC8,2007-07-05,
WC11,2007-07-05,
WC25,2007-07-05,
WC16,2007-07-05,
WC15,2007-07-05,
NW1,2007-07-05,
NW2,2007-07-05,
NW3,2007-07-05,
NW4,2007-07-05,
NW5,2007-07-05,
WC23,2007-07-05,
WC22,2007-07-05,
WC24,2007-07-05,
NC2,2007-07-05,
NC1,2007-07-05,
WC21,2007-07-05,
WC13,2007-07-05,
WC9,2007-07-05,
SW1,2007-07-05,
SW2,2007-07-05,
WC10,2007-07-05,
WC14,2007-07-05,
WC7,2007-07-05,
WC27,2007-07-05,
WC1,2006-02-24,
WC2,2006-02-24,
WC3,2006-02-24,
WC6,2006-02-24,
WC4,2006-02-24,
WC5,2006-02-24,
WC26,2006-02-24,
SW4,2006-02-24,
NW6,2006-02-24,
NW7,2006-02-24,
NB1,2006-02-24,
WC20,2006-02-24,
WC19,2006-02-24,
SW3,2006-02-24,
WC18,2006-02-24,
WC17,2006-02-24,
SW5,2006-02-24,
SW6,2006-02-24,
WC12,2006-02-24,
WC8,2006-02-24,
WC11,2006-02-24,
WC25,2006-02-24,
WC16,2006-02-24,
WC15,2006-02-24,
NW1,2006-02-24,
NW2,2006-02-24,
NW3,2006-02-24,
NW4,2006-02-24,
NW5,2006-02-24,
WC23,2006-02-24,
WC22,2006-02-24,
WC24,2006-02-24,
NC2,2006-02-24,0.1974190127078304
NC1,2006-02-24,0.1375868284250548
WC21,2006-02-24,
WC13,2006-02-24,
WC9,2006-02-24,
SW1,2006-02-24,
SW2,2006-02-24,
WC10,2006-02-24,
WC14,2006-02-24,
WC7,2006-02-24,
WC27,2006-02-24,
WC1,2006-04-13,
WC2,2006-04-13,
WC3,2006-04-13,
WC6,2006-04-13,
WC4,2006-04-13,
WC5,2006-04-13,
WC26,2006-04-13,
SW4,2006-04-13,
NW6,2006-04-13,
NW7,2006-04-13,
NB1,2006-04-13,
WC20,2006-04-13,
WC19,2006-04-13,
SW3,2006-04-13,
WC18,2006-04-13,
WC17,2006-04-13,
SW5,2006-04-13,
SW6,2006-04-13,
WC12,2006-04-13,
WC8,2006-04-13,
WC11,2006-04-13,
WC25,2006-04-13,
WC16,2006-04-13,
WC15,2006-04-13,
NW1,2006-04-13,
NW2,2006-04-13,
NW3,2006-04-13,
NW4,2006-04-13,
NW5,2006-04-13,
WC23,2006-04-13,
WC22,2006-04-13,
WC24,2006-04-13,
NC2,2006-04-13,0.6962245036820157
NC1,2006-04-13,0.17153318631084544
WC21,2006-04-13,
WC13,2006-04-13,
WC9,2006-04-13,
SW1,2006-04-13,
SW2,2006-04-13,
WC10,2006-04-13,
WC14,2006-04-13,
WC7,2006-04-13,
WC27,2006-04-13,
WC1,2006-07-18,
WC2,2006-07-18,
WC3,2006-07-18,
WC6,2006-07-18,
WC4,2006-07-18,
WC5,2006-07-18,
WC26,2006-07-18,
SW4,2006-07-18,
NW6,2006-07-18,
NW7,2006-07-18,
NB1,2006-07-18,
WC20,2006-07-18,
WC19,2006-07-18,
SW3,2006-07-18,
WC18,2006-07-18,
WC17,2006-07-18,
SW5,2006-07-18,
SW6,2006-07-18,
WC12,2006-07-18,
