FieldID,date,NDVI
WC1,2007-07-05,
WC2,2007-07-05,
WC3,2007-07-05,
WC6,2007-07-05,
WC4,2007-07-05,
WC5,2007-07-05,
WC26,2007-07-05,
SW4,2007-07-05,
NW6,2007-07-05,
NW7,2007-07-05,
NB1,2007-07-05,
WC20,2007-07-05,
WC19,2007-07-05,
SW3,2007-07-05,
WC18,2007-07-05,
WC17,2007-07-05,
SW5,2007-07-05,
SW6,2007-07-05,
WC12,2007-07-05,
WC8,2007-07-05,
WC11,2007-07-05,
WC25,2007-07-05,
WC16,2007-07-05,
WC15,2007-07-05,
NW1,2007-07-05,
NW2,2007-07-05,
NW3,2007-07-05,
NW4,2007-07-05,
NW5,2007-07-05,
WC23,2007-07-05,
WC22,2007-07-05,
WC24,2007-07-05,
NC2,2007-07-05,
NC1,2007-07-05,
WC21,2007-07-05,
WC13,2007-07-05,
WC9,2007-07-05,
SW1,2007-07-05,
SW2,2007-07-05,
WC10,2007-07-05,
WC14,2007-07-05,
WC7,2007-07-05,
WC27,2007-07-05,
WC1,2008-11-12,
WC2,2008-11-12,
WC3,2008-11-12,
WC6,2008-11-12,
WC4,2008-11-12,
WC5,2008-11-12,
WC26,2008-11-12,
SW4,2008-11-12,
NW6,2008-11-12,
NW7,2008-11-12,
NB1,2008-11-12,
WC20,2008-11-12,
WC19,2008-11-12,
SW3,2008-11-12,
WC18,2008-11-12,
WC17,2008-11-12,
SW5,2008-11-12,
SW6,2008-11-12,
WC12,2008-11-12,
WC8,2008-11-12,
WC11,2008-11-12,
WC25,2008-11-12,
WC16,2008-11-12,
WC15,2008-11-12,
NW1,2008-11-12,
NW2,2008-11-12,
NW3,2008-11-12,
NW4,2008-11-12,
NW5,2008-11-12,
WC23,2008-11-12,
WC22,2008-11-12,
WC24,2008-11-12,
NC2,2008-11-12,
NC1,2008-11-12,
WC21,2008-11-12,
WC13,2008-11-12,
WC9,2008-11-12,
SW1,2008-11-12,
SW2,2008-11-12,
WC10,2008-11-12,
WC14,2008-11-12,
WC7,2008-11-12,
WC27,2008-11-12,
WC1,2006-02-08,
WC2,2006-02-08,
WC3,2006-02-08,
WC6,2006-02-08,
WC4,2006-02-08,
WC5,2006-02-08,
WC26,2006-02-08,
SW4,2006-02-08,
NW6,2006-02-08,
NW7,2006-02-08,
NB1,2006-02-08,
WC20,2006-02-08,
WC19,2006-02-08,
SW3,2006-02-08,
WC18,2006-02-08,
WC17,2006-02-08,
SW5,2006-02-08,
SW6,2006-02-08,
WC12,2006-02-08,
WC8,2006-02-08,
WC11,2006-02-08,
WC25,2006-02-08,
WC16,2006-02-08,
WC15,2006-02-08,
NW1,2006-02-08,
NW2,2006-02-08,
NW3,2006-02-08,
NW4,2006-02-08,
NW5,2006-02-08,
WC23,2006-02-08,
WC22,2006-02-08,
WC24,2006-02-08,
NC2,2006-02-08,0.18933558978986023
NC1,2006-02-08,0.14172918777918103
WC21,2006-02-08,
WC13,2006-02-08,
WC9,2006-02-08,
SW1,2006-02-08,
SW2,2006-02-08,
WC10,2006-02-08,
WC14,2006-02-08,
WC7,2006-02-08,
WC27,2006-02-08,
WC1,2006-02-24,
WC2,2006-02-24,
WC3,2006-02-24,
WC6,2006-02-24,
WC4,2006-02-24,
WC5,2006-02-24,
WC26,2006-02-24,
SW4,2006-02-24,
NW6,2006-02-24,
NW7,2006-02-24,
NB1,2006-02-24,
WC20,2006-02-24,
WC19,2006-02-24,
SW3,2006-02-24,
WC18,2006-02-24,
WC17,2006-02-24,
SW5,2006-02-24,
SW6,2006-02-24,
WC12,2006-02-24,
WC8,2006-02-24,
WC11,2006-02-24,
