FieldID,date,NDVI
WC1,2006-02-08,
WC2,2006-02-08,
WC3,2006-02-08,
WC6,2006-02-08,
WC4,2006-02-08,
WC5,2006-02-08,
WC26,2006-02-08,
SW4,2006-02-08,
NW6,2006-02-08,
NW7,2006-02-08,
NB1,2006-02-08,
WC20,2006-02-08,
WC19,2006-02-08,
SW3,2006-02-08,
WC18,2006-02-08,
WC17,2006-02-08,
SW5,2006-02-08,
SW6,2006-02-08,
WC12,2006-02-08,
WC8,2006-02-08,
WC11,2006-02-08,
WC25,2006-02-08,
WC16,2006-02-08,
WC15,2006-02-08,
NW1,2006-02-08,
NW2,2006-02-08,
NW3,2006-02-08,
NW4,2006-02-08,
NW5,2006-02-08,
WC23,2006-02-08,
WC22,2006-02-08,
WC24,2006-02-08,
NC2,2006-02-08,-0.46684581871329706
NC1,2006-02-08,-0.48342362721669707
WC21,2006-02-08,
WC13,2006-02-08,
WC9,2006-02-08,
SW1,2006-02-08,
SW2,2006-02-08,
WC10,2006-02-08,
WC14,2006-02-08,
WC7,2006-02-08,
WC27,2006-02-08,
WC1,2006-02-24,
WC2,2006-02-24,
WC3,2006-02-24,
WC6,2006-02-24,
WC4,2006-02-24,
WC5,2006-02-24,
WC26,2006-02-24,
SW4,2006-02-24,
NW6,2006-02-24,
NW7,2006-02-24,
NB1,2006-02-24,
WC20,2006-02-24,
WC19,2006-02-24,
SW3,2006-02-24,
WC18,2006-02-24,
WC17,2006-02-24,
SW5,2006-02-24,
SW6,2006-02-24,
WC12,2006-02-24,
WC8,2006-02-24,
WC11,2006-02-24,
WC25,2006-02-24,
WC16,2006-02-24,
WC15,2006-02-24,
NW1,2006-02-24,
NW2,2006-02-24,
NW3,2006-02-24,
NW4,2006-02-24,
NW5,2006-02-24,
WC23,2006-02-24,
WC22,2006-02-24,
WC24,2006-02-24,
NC2,2006-02-24,-0.5035059644878221
NC1,2006-02-24,-0.445835932523067
WC21,2006-02-24,
WC13,2006-02-24,
WC9,2006-02-24,
SW1,2006-02-24,
SW2,2006-02-24,
WC10,2006-02-24,
WC14,2006-02-24,
WC7,2006-02-24,
WC27,2006-02-24,
WC1,2006-04-13,
WC2,2006-04-13,
WC3,2006-04-13,
WC6,2006-04-13,
WC4,2006-04-13,
WC5,2006-04-13,
WC26,2006-04-13,
SW4,2006-04-13,
NW6,2006-04-13,
NW7,2006-04-13,
NB1,2006-04-13,
WC20,2006-04-13,
WC19,2006-04-13,
SW3,2006-04-13,
WC18,2006-04-13,
WC17,2006-04-13,
SW5,2006-04-13,
SW6,2006-04-13,
WC12,2006-04-13,
WC8,2006-04-13,
WC11,2006-04-13,
WC25,2006-04-13,
WC16,2006-04-13,
WC15,2006-04-13,
NW1,2006-04-13,
NW2,2006-04-13,
NW3,2006-04-13,
NW4,2006-04-13,
NW5,2006-04-13,
WC23,2006-04-13,
WC22,2006-04-13,
WC24,2006-04-13,
NC2,2006-04-13,-0.5628520954548168
NC1,2006-04-13,-0.45704636077814026
WC21,2006-04-13,
WC13,2006-04-13,
WC9,2006-04-13,
SW1,2006-04-13,
SW2,2006-04-13,
WC10,2006-04-13,
WC14,2006-04-13,
WC7,2006-04-13,
WC27,2006-04-13,
WC1,2006-05-31,
WC2,2006-05-31,
WC3,2006-05-31,
WC6,2006-05-31,
WC4,2006-05-31,
WC5,2006-05-31,
WC26,2006-05-31,
SW4,2006-05-31,
NW6,2006-05-31,
NW7,2006-05-31,
NB1,2006-05-31,
WC20,2006-05-31,
WC19,2006-05-31,
SW3,2006-05-31,
WC18,2006-05-31,
WC17,2006-05-31,
SW5,2006-05-31,
SW6,2006-05-31,
WC12,2006-05-31,
WC8,2006-05-31,
WC11,2006-05-31,
WC25,2006-05-31,
WC16,2006-05-31,
WC15,2006-05-31,
NW1,2006-05-31,
NW2,2006-05-31,
NW3,2006-05-31,
NW4,2006-05-31,
NW5,2006-05-31,
WC23,2006-05-31,
WC22,2006-05-31,
WC24,2006-05-31,
NC2,2006-05-31,-0.5089145452736075
NC1,2006-05-31,-0.48778572290793054
WC21,2006-05-31,
WC13,2006-05-31,
WC9,2006-05-31,
SW1,2006-05-31,
SW2,2006-05-31,
WC10,2006-05-31,
WC14,2006-05-31,
WC7,2006-05-31,
WC27,2006-05-31,
WC1,2006-06-16,
WC2,2006-06-16,
WC3,2006-06-16,
WC6,2006-06-16,
WC4,2006-06-16,
WC5,2006-06-16,
WC26,2006-06-16,
SW4,2006-06-16,
NW6,2006-06-16,
NW7,2006-06-16,
NB1,2006-06-16,
WC20,2006-06-16,
