FieldID,date,NDVI
WC1,2006-02-08,
WC2,2006-02-08,
WC3,2006-02-08,
WC6,2006-02-08,
WC4,2006-02-08,
WC5,2006-02-08,
WC26,2006-02-08,
SW4,2006-02-08,
NW6,2006-02-08,
NW7,2006-02-08,
NB1,2006-02-08,
WC20,2006-02-08,
WC19,2006-02-08,
SW3,2006-02-08,
WC18,2006-02-08,
WC17,2006-02-08,
SW5,2006-02-08,
SW6,2006-02-08,
WC12,2006-02-08,
WC8,2006-02-08,
WC11,2006-02-08,
WC25,2006-02-08,
WC16,2006-02-08,
WC15,2006-02-08,
NW1,2006-02-08,
NW2,2006-02-08,
NW3,2006-02-08,
NW4,2006-02-08,
NW5,2006-02-08,
WC23,2006-02-08,
WC22,2006-02-08,
WC24,2006-02-08,
NC2,2006-02-08,0.2504431048546114
NC1,2006-02-08,0.18716719368644433
WC21,2006-02-08,
WC13,2006-02-08,
WC9,2006-02-08,
SW1,2006-02-08,
SW2,2006-02-08,
WC10,2006-02-08,
WC14,2006-02-08,
WC7,2006-02-08,
WC27,2006-02-08,
WC1,2006-02-24,
WC2,2006-02-24,
WC3,2006-02-24,
WC6,2006-02-24,
WC4,2006-02-24,
WC5,2006-02-24,
WC26,2006-02-24,
SW4,2006-02-24,
NW6,2006-02-24,
NW7,2006-02-24,
NB1,2006-02-24,
WC20,2006-02-24,
WC19,2006-02-24,
SW3,2006-02-24,
WC18,2006-02-24,
WC17,2006-02-24,
SW5,2006-02-24,
SW6,2006-02-24,
WC12,2006-02-24,
WC8,2006-02-24,
WC11,2006-02-24,
WC25,2006-02-24,
WC16,2006-02-24,
WC15,2006-02-24,
NW1,2006-02-24,
NW2,2006-02-24,
NW3,2006-02-24,
NW4,2006-02-24,
NW5,2006-02-24,
WC23,2006-02-24,
WC22,2006-02-24,
WC24,2006-02-24,
NC2,2006-02-24,0.21781160924211315
NC1,2006-02-24,0.1510078300149069
WC21,2006-02-24,
WC13,2006-02-24,
WC9,2006-02-24,
SW1,2006-02-24,
SW2,2006-02-24,
WC10,2006-02-24,
WC14,2006-02-24,
WC7,2006-02-24,
WC27,2006-02-24,
WC1,2006-03-12,
WC2,2006-03-12,
WC3,2006-03-12,
WC6,2006-03-12,
WC4,2006-03-12,
WC5,2006-03-12,
WC26,2006-03-12,
SW4,2006-03-12,
NW6,2006-03-12,
NW7,2006-03-12,
NB1,2006-03-12,
WC20,2006-03-12,
WC19,2006-03-12,
SW3,2006-03-12,
WC18,2006-03-12,
WC17,2006-03-12,
SW5,2006-03-12,
SW6,2006-03-12,
WC12,2006-03-12,
WC8,2006-03-12,
WC11,2006-03-12,
WC25,2006-03-12,
WC16,2006-03-12,
WC15,2006-03-12,
NW1,2006-03-12,
NW2,2006-03-12,
NW3,2006-03-12,
NW4,2006-03-12,
NW5,2006-03-12,
WC23,2006-03-12,
WC22,2006-03-12,
WC24,2006-03-12,
NC2,2006-03-12,
NC1,2006-03-12,
WC21,2006-03-12,
WC13,2006-03-12,
WC9,2006-03-12,
SW1,2006-03-12,
SW2,2006-03-12,
WC10,2006-03-12,
WC14,2006-03-12,
WC7,2006-03-12,
WC27,2006-03-12,
WC1,2006-04-13,
WC2,2006-04-13,
WC3,2006-04-13,
WC6,2006-04-13,
WC4,2006-04-13,
WC5,2006-04-13,
WC26,2006-04-13,
SW4,2006-04-13,
NW6,2006-04-13,
NW7,2006-04-13,
NB1,2006-04-13,
WC20,2006-04-13,
WC19,2006-04-13,
SW3,2006-04-13,
WC18,2006-04-13,
WC17,2006-04-13,
SW5,2006-04-13,
SW6,2006-04-13,
WC12,2006-04-13,
WC8,2006-04-13,
WC11,2006-04-13,
WC25,2006-04-13,
WC16,2006-04-13,
WC15,2006-04-13,
NW1,2006-04-13,
NW2,2006-04-13,
NW3,2006-04-13,
NW4,2006-04-13,
NW5,2006-04-13,
WC23,2006-04-13,
WC22,2006-04-13,
WC24,2006-04-13,
NC2,2006-04-13,0.7882994668773677
NC1,2006-04-13,0.20666359302896647
WC21,2006-04-13,
WC13,2006-04-13,
WC9,2006-04-13,
SW1,2006-04-13,
SW2,2006-04-13,
WC10,2006-04-13,
WC14,2006-04-13,
WC7,2006-04-13,
WC27,2006-04-13,
WC1,2006-05-31,
WC2,2006-05-31,
WC3,2006-05-31,
WC6,2006-05-31,
WC4,2006-05-31,
WC5,2006-05-31,
WC26,2006-05-31,
SW4,2006-05-31,
NW6,2006-05-31,
NW7,2006-05-31,
NB1,2006-05-31,
WC20,2006-05-31,
WC19,2006-05-31,
SW3,2006-05-31,
