FieldID,date,NDVI
WC1,2013-07-05,
WC2,2013-07-05,
WC3,2013-07-05,
WC6,2013-07-05,
WC4,2013-07-05,
WC5,2013-07-05,
WC26,2013-07-05,
SW4,2013-07-05,
NW6,2013-07-05,
NW7,2013-07-05,
NB1,2013-07-05,
WC20,2013-07-05,
WC19,2013-07-05,
SW3,2013-07-05,
WC18,2013-07-05,
WC17,2013-07-05,
SW5,2013-07-05,
SW6,2013-07-05,
WC12,2013-07-05,
WC8,2013-07-05,
WC11,2013-07-05,
WC25,2013-07-05,
WC16,2013-07-05,
WC15,2013-07-05,
NW1,2013-07-05,
NW2,2013-07-05,
NW3,2013-07-05,
NW4,2013-07-05,
NW5,2013-07-05,
WC23,2013-07-05,
WC22,2013-07-05,
WC24,2013-07-05,
NC2,2013-07-05,
NC1,2013-07-05,0.5447457765196961
WC21,2013-07-05,
WC13,2013-07-05,
WC9,2013-07-05,
SW1,2013-07-05,
SW2,2013-07-05,
WC10,2013-07-05,
WC14,2013-07-05,
WC7,2013-07-05,
WC27,2013-07-05,
WC1,2013-07-21,
WC2,2013-07-21,
WC3,2013-07-21,
WC6,2013-07-21,
WC4,2013-07-21,
WC5,2013-07-21,
WC26,2013-07-21,
SW4,2013-07-21,
NW6,2013-07-21,
NW7,2013-07-21,
NB1,2013-07-21,
WC20,2013-07-21,
WC19,2013-07-21,
SW3,2013-07-21,
WC18,2013-07-21,
WC17,2013-07-21,
SW5,2013-07-21,
SW6,2013-07-21,
WC12,2013-07-21,
WC8,2013-07-21,
WC11,2013-07-21,
WC25,2013-07-21,
WC16,2013-07-21,
WC15,2013-07-21,
NW1,2013-07-21,
NW2,2013-07-21,
NW3,2013-07-21,
NW4,2013-07-21,
NW5,2013-07-21,
WC23,2013-07-21,
WC22,2013-07-21,
WC24,2013-07-21,
NC2,2013-07-21,
NC1,2013-07-21,0.07711688564786631
WC21,2013-07-21,
WC13,2013-07-21,
WC9,2013-07-21,
SW1,2013-07-21,
SW2,2013-07-21,
WC10,2013-07-21,
WC14,2013-07-21,
WC7,2013-07-21,
WC27,2013-07-21,
WC1,2013-08-06,
WC2,2013-08-06,
WC3,2013-08-06,
WC6,2013-08-06,
WC4,2013-08-06,
WC5,2013-08-06,
WC26,2013-08-06,
SW4,2013-08-06,
NW6,2013-08-06,
NW7,2013-08-06,
NB1,2013-08-06,
WC20,2013-08-06,
WC19,2013-08-06,
SW3,2013-08-06,
WC18,2013-08-06,
WC17,2013-08-06,
SW5,2013-08-06,
SW6,2013-08-06,
WC12,2013-08-06,
WC8,2013-08-06,
WC11,2013-08-06,
WC25,2013-08-06,
