FieldID,date,NDVI
WC1,2013-09-23,
WC2,2013-09-23,
WC3,2013-09-23,
WC6,2013-09-23,
WC4,2013-09-23,
WC5,2013-09-23,
WC26,2013-09-23,
SW4,2013-09-23,
NW6,2013-09-23,
NW7,2013-09-23,
NB1,2013-09-23,
WC20,2013-09-23,
WC19,2013-09-23,
SW3,2013-09-23,
WC18,2013-09-23,
WC17,2013-09-23,
SW5,2013-09-23,
SW6,2013-09-23,
WC12,2013-09-23,
WC8,2013-09-23,
WC11,2013-09-23,
WC25,2013-09-23,
WC16,2013-09-23,
WC15,2013-09-23,
NW1,2013-09-23,
NW2,2013-09-23,
NW3,2013-09-23,
NW4,2013-09-23,
NW5,2013-09-23,
WC23,2013-09-23,
WC22,2013-09-23,
WC24,2013-09-23,
NC2,2013-09-23,
NC1,2013-09-23,0.5127135963032565
WC21,2013-09-23,
WC13,2013-09-23,
WC9,2013-09-23,
SW1,2013-09-23,
SW2,2013-09-23,
WC10,2013-09-23,
WC14,2013-09-23,
WC7,2013-09-23,
WC27,2013-09-23,
WC1,2013-10-09,
WC2,2013-10-09,
WC3,2013-10-09,
WC6,2013-10-09,
WC4,2013-10-09,
WC5,2013-10-09,
WC26,2013-10-09,
SW4,2013-10-09,
NW6,2013-10-09,
NW7,2013-10-09,
NB1,2013-10-09,
WC20,2013-10-09,
WC19,2013-10-09,
SW3,2013-10-09,
WC18,2013-10-09,
WC17,2013-10-09,
SW5,2013-10-09,
SW6,2013-10-09,
WC12,2013-10-09,
WC8,2013-10-09,
WC11,2013-10-09,
WC25,2013-10-09,
WC16,2013-10-09,
WC15,2013-10-09,
NW1,2013-10-09,
NW2,2013-10-09,
NW3,2013-10-09,
NW4,2013-10-09,
NW5,2013-10-09,
WC23,2013-10-09,
WC22,2013-10-09,
WC24,2013-10-09,
NC2,2013-10-09,
NC1,2013-10-09,0.40375115777152354
WC21,2013-10-09,
WC13,2013-10-09,
WC9,2013-10-09,
SW1,2013-10-09,
SW2,2013-10-09,
WC10,2013-10-09,
WC14,2013-10-09,
WC7,2013-10-09,
WC27,2013-10-09,
WC1,2013-10-25,
WC2,2013-10-25,
WC3,2013-10-25,
WC6,2013-10-25,
WC4,2013-10-25,
WC5,2013-10-25,
WC26,2013-10-25,
SW4,2013-10-25,
NW6,2013-10-25,
NW7,2013-10-25,
NB1,2013-10-25,
WC20,2013-10-25,
WC19,2013-10-25,
SW3,2013-10-25,
WC18,2013-10-25,
WC17,2013-10-25,
SW5,2013-10-25,
SW6,2013-10-25,
WC12,2013-10-25,
WC8,2013-10-25,
WC11,2013-10-25,
WC25,2013-10-25,
WC16,2013-10-25,
WC15,2013-10-25,
NW1,2013-10-25,
NW2,2013-10-25,
NW3,2013-10-25,
NW4,2013-10-25,
NW5,2013-10-25,
WC23,2013-10-25,
WC22,2013-10-25,
WC24,2013-10-25,
NC2,2013-10-25,
NC1,2013-10-25,0.3092205536856809
WC21,2013-10-25,
WC13,2013-10-25,
WC9,2013-10-25,
SW1,2013-10-25,
SW2,2013-10-25,
WC10,2013-10-25,
WC14,2013-10-25,
WC7,2013-10-25,
WC27,2013-10-25,
WC1,2013-12-12,
WC2,2013-12-12,
WC3,2013-12-12,
WC6,2013-12-12,
WC4,2013-12-12,
WC5,2013-12-12,
WC26,2013-12-12,
SW4,2013-12-12,
NW6,2013-12-12,
NW7,2013-12-12,
NB1,2013-12-12,
WC20,2013-12-12,
WC19,2013-12-12,
SW3,2013-12-12,
WC18,2013-12-12,
WC17,2013-12-12,
SW5,2013-12-12,
SW6,2013-12-12,
WC12,2013-12-12,
WC8,2013-12-12,
WC11,2013-12-12,
WC25,2013-12-12,
WC16,2013-12-12,
WC15,2013-12-12,
NW1,2013-12-12,
NW2,2013-12-12,
NW3,2013-12-12,
NW4,2013-12-12,
NW5,2013-12-12,
WC23,2013-12-12,
WC22,2013-12-12,
WC24,2013-12-12,
NC2,2013-12-12,
NC1,2013-12-12,0.0495808999556258
WC21,2013-12-12,
WC13,2013-12-12,
WC9,2013-12-12,
SW1,2013-12-12,
SW2,2013-12-12,
WC10,2013-12-12,
WC14,2013-12-12,
WC7,2013-12-12,
WC27,2013-12-12,
WC1,2013-12-28,
WC2,2013-12-28,
WC3,2013-12-28,
WC6,2013-12-28,
WC4,2013-12-28,
WC5,2013-12-28,
WC26,2013-12-28,
SW4,2013-12-28,
NW6,2013-12-28,
NW7,2013-12-28,
NB1,2013-12-28,
WC20,2013-12-28,
WC19,2013-12-28,
SW3,2013-12-28,
WC18,2013-12-28,
WC17,2013-12-28,
SW5,2013-12-28,
SW6,2013-12-28,
WC12,2013-12-28,
WC8,2013-12-28,
WC11,2013-12-28,
WC25,2013-12-28,
WC16,2013-12-28,
WC15,2013-12-28,
NW1,2013-12-28,
NW2,2013-12-28,
NW3,2013-12-28,
NW4,2013-12-28,
NW5,2013-12-28,
WC23,2013-12-28,
WC22,2013-12-28,
WC24,2013-12-28,
NC2,2013-12-28,
NC1,2013-12-28,0.20853177734509912
WC21,2013-12-28,
WC13,2013-12-28,
WC9,2013-12-28,
SW1,2013-12-28,
SW2,2013-12-28,
WC10,2013-12-28,
WC14,2013-12-28,
WC7,2013-12-28,
WC27,2013-12-28,
WC1,2014-01-13,
WC2,2014-01-13,
WC3,2014-01-13,
WC6,2014-01-13,
