,FieldID,date,MNDWI,Year,Month
3344,NC1,2006-01-14,-0.4526510704543109,2006,1
3343,NC2,2006-01-14,-0.5125760749424249,2006,1
9197,SW2,2006-01-21,-0.4465328660326323,2006,1
9160,WC2,2006-01-21,-0.4357297076813166,2006,1
9161,WC3,2006-01-21,-0.4274718495770687,2006,1
9162,WC6,2006-01-21,-0.458514614682353,2006,1
9163,WC4,2006-01-21,-0.4595656807907697,2006,1
9164,WC5,2006-01-21,-0.4774260087071113,2006,1
9165,WC26,2006-01-21,-0.4656954079109083,2006,1
9170,WC20,2006-01-21,-0.4563201565502647,2006,1
9171,WC19,2006-01-21,-0.4983552895290792,2006,1
9172,SW3,2006-01-21,-0.4408591192399654,2006,1
9173,WC18,2006-01-21,-0.4711647046359244,2006,1
9174,WC17,2006-01-21,-0.4746987965305333,2006,1
9177,WC12,2006-01-21,-0.4705420838063927,2006,1
9178,WC8,2006-01-21,-0.4924982104063247,2006,1
9179,WC11,2006-01-21,-0.4710326749918805,2006,1
9180,WC25,2006-01-21,-0.4659809187124002,2006,1
9201,WC27,2006-01-21,-0.4974153922593103,2006,1
9200,WC7,2006-01-21,-0.4528555499132886,2006,1
9199,WC14,2006-01-21,-0.4335638727690166,2006,1
9198,WC10,2006-01-21,-0.4180309341742546,2006,1
9181,WC16,2006-01-21,-0.4692073393088771,2006,1
9195,WC9,2006-01-21,-0.4447648570731586,2006,1
9194,WC13,2006-01-21,-0.4723453895086454,2006,1
9193,WC21,2006-01-21,-0.3908796586848211,2006,1
9190,WC24,2006-01-21,-0.4939639827231202,2006,1
9189,WC22,2006-01-21,-0.4943054989253473,2006,1
9159,WC1,2006-01-21,-0.4553765247311367,2006,1
9188,WC23,2006-01-21,-0.4810557279465873,2006,1
9182,WC15,2006-01-21,-0.4651010092942308,2006,1
13051,WC16,2006-01-21,-0.4855894850697566,2006,1
13071,WC27,2006-01-21,-0.5010633068079822,2006,1
13065,WC9,2006-01-21,-0.4501150389595354,2006,1
13064,WC13,2006-01-21,-0.4771378962619169,2006,1
13060,WC24,2006-01-21,-0.4963113080937393,2006,1
13052,WC15,2006-01-21,-0.4717594311752091,2006,1
13068,WC10,2006-01-21,-0.4243389003172818,2006,1
13050,WC25,2006-01-21,-0.46883326220858,2006,1
13049,WC11,2006-01-21,-0.4780671180937138,2006,1
13048,WC8,2006-01-21,-0.5013277065924963,2006,1
13047,WC12,2006-01-21,-0.4764879331249368,2006,1
13046,SW6,2006-01-21,-0.3758433410130711,2006,1
13066,SW1,2006-01-21,-0.4486401791942081,2006,1
13045,SW5,2006-01-21,-0.4179628818123951,2006,1
13036,SW4,2006-01-21,-0.4212827770277659,2006,1
13035,WC26,2006-01-21,-0.4701164848962995,2006,1
13069,WC14,2006-01-21,-0.4390558084374584,2006,1
13070,WC7,2006-01-21,-0.4608910601038052,2006,1
13042,SW3,2006-01-21,-0.4493804984211055,2006,1
13067,SW2,2006-01-21,-0.4512387331078594,2006,1
20855,WC1,2006-01-28,-0.4734403699179852,2006,1
20856,WC2,2006-01-28,-0.4662507826478814,2006,1
20857,WC3,2006-01-28,-0.4573099504969971,2006,1
20858,WC6,2006-01-28,-0.4828456102986985,2006,1
20859,WC4,2006-01-28,-0.4799752259147797,2006,1
20860,WC5,2006-01-28,-0.4953317313881534,2006,1
20861,WC26,2006-01-28,-0.479117389629188,2006,1
16970,NW5,2006-01-28,-0.4551888588320408,2006,1
24775,SW4,2006-01-28,-0.4375568073433416,2006,1
24784,SW5,2006-01-28,-0.4200600324132579,2006,1
24785,SW6,2006-01-28,-0.4343423366387787,2006,1
24805,SW1,2006-01-28,-0.4389892318872212,2006,1
20893,SW2,2006-01-28,-0.4669676704377321,2006,1
20894,WC10,2006-01-28,-0.4563605400161121,2006,1
20895,WC14,2006-01-28,-0.459638935503175,2006,1
20896,WC7,2006-01-28,-0.4788827616476771,2006,1
20897,WC27,2006-01-28,-0.5060177103947873,2006,1
20862,SW4,2006-01-28,-0.4396887113797873,2006,1
16969,NW4,2006-01-28,-0.4438203099881023,2006,1
20877,WC16,2006-01-28,-0.4963346468635626,2006,1
20889,WC21,2006-01-28,-0.4425798017663834,2006,1
20892,SW1,2006-01-28,-0.442965362028894,2006,1
20891,WC9,2006-01-28,-0.4749096985626949,2006,1
20890,WC13,2006-01-28,-0.4834175524297401,2006,1
16968,NW3,2006-01-28,-0.4420162839940403,2006,1
20886,WC24,2006-01-28,-0.5053716452483218,2006,1
20885,WC22,2006-01-28,-0.5028759745286389,2006,1
20884,WC23,2006-01-28,-0.4870660619527587,2006,1
20878,WC15,2006-01-28,-0.483368904905898,2006,1
20875,WC11,2006-01-28,-0.4915680803546588,2006,1
20874,WC8,2006-01-28,-0.5039655799629797,2006,1
20873,WC12,2006-01-28,-0.4759649886687186,2006,1
20876,WC25,2006-01-28,-0.4678382337078717,2006,1
20866,WC20,2006-01-28,-0.4798840747143174,2006,1
20872,SW6,2006-01-28,-0.4362752246849486,2006,1
16967,NW2,2006-01-28,-0.4537347283034839,2006,1
20871,SW5,2006-01-28,-0.4222282760176363,2006,1
20870,WC17,2006-01-28,-0.4986689824673924,2006,1
20869,WC18,2006-01-28,-0.4944469622773435,2006,1
20868,SW3,2006-01-28,-0.4691160902876709,2006,1
20867,WC19,2006-01-28,-0.5025174140750455,2006,1
16966,NW1,2006-01-28,-0.4148156229340348,2006,1
3387,NC1,2006-01-30,-0.4331886897497461,2006,1
3386,NC2,2006-01-30,-0.500957246377756,2006,1
13095,WC15,2006-02-06,-0.4793448957463563,2006,2
13090,WC12,2006-02-06,-0.4808426136704113,2006,2
13091,WC8,2006-02-06,-0.4832045897821374,2006,2
13092,WC11,2006-02-06,-0.4874643710166075,2006,2
13093,WC25,2006-02-06,-0.4472988153270699,2006,2
13094,WC16,2006-02-06,-0.4827925380719648,2006,2
13103,WC24,2006-02-06,-0.5009239450531692,2006,2
13085,SW3,2006-02-06,-0.4382570529653675,2006,2
13108,WC9,2006-02-06,-0.4641168058316989,2006,2
13109,SW1,2006-02-06,-0.4606673640550184,2006,2
13110,SW2,2006-02-06,-0.4508659884506305,2006,2
13111,WC10,2006-02-06,-0.4426202620309927,2006,2
13112,WC14,2006-02-06,-0.4522299489422677,2006,2
13113,WC7,2006-02-06,-0.4920909826529759,2006,2
13114,WC27,2006-02-06,-0.4820751681130807,2006,2
13107,WC13,2006-02-06,-0.4667798871557797,2006,2
13087,WC17,2006-02-06,-0.4935885615830361,2006,2
32,NC2,2006-02-08,-0.466845818713297,2006,2
33,NC1,2006-02-08,-0.483423627216697,2006,2
20940,WC27,2006-02-13,-0.5226575103498153,2006,2
17011,NW3,2006-02-13,-0.4575066074148706,2006,2
17012,NW4,2006-02-13,-0.4681781621320058,2006,2
17013,NW5,2006-02-13,-0.4753887565793873,2006,2
20912,WC18,2006-02-13,-0.5146903585293773,2006,2
20911,SW3,2006-02-13,-0.4967239704755068,2006,2
20910,WC19,2006-02-13,-0.5175416167954738,2006,2
20909,WC20,2006-02-13,-0.5187110074064878,2006,2
20905,SW4,2006-02-13,-0.4494840135984974,2006,2
20904,WC26,2006-02-13,-0.49957029305901,2006,2
20903,WC5,2006-02-13,-0.5061095900413856,2006,2
20902,WC4,2006-02-13,-0.4806494088295127,2006,2
20901,WC6,2006-02-13,-0.5083665635074343,2006,2
20900,WC3,2006-02-13,-0.4890333331920217,2006,2
20899,WC2,2006-02-13,-0.507970937467032,2006,2
20898,WC1,2006-02-13,-0.4805166906999137,2006,2
24848,SW1,2006-02-13,-0.4522572342772358,2006,2
