,FieldID,date,NDVI,Year,Month,NDVI_Aug
3559,NC1,2006-01-14,0.1525454547912259,2006,1,0.7627374949237458
3558,NC2,2006-01-14,0.2671760153065265,2006,1,0.843403123240197
9718,WC1,2006-01-21,0.1592395312707653,2006,1,0.7996233394895624
13766,WC26,2006-01-21,0.4216416134163273,2006,1,0.7407964991906937
13767,SW4,2006-01-21,0.1888234070983859,2006,1,0.790661362284081
13773,SW3,2006-01-21,0.4602022573084682,2006,1,0.2402311476545275
13776,SW5,2006-01-21,0.1402865172738754,2006,1,0.7503610240370223
13777,SW6,2006-01-21,0.332975628558339,2006,1,0.7429281740157417
13778,WC12,2006-01-21,0.2895217568842817,2006,1,0.6531158262794657
13779,WC8,2006-01-21,0.1695577114809257,2006,1,0.8132005888509314
13780,WC11,2006-01-21,0.1707223639807039,2006,1,0.7783872339006702
13781,WC25,2006-01-21,0.3188991766474038,2006,1,0.1894386906207676
13783,WC15,2006-01-21,0.3434655313874835,2006,1,0.4733548871536446
13791,WC24,2006-01-21,0.3744460074588888,2006,1,0.5059141956542218
13795,WC13,2006-01-21,0.2044202010615335,2006,1,0.7995891344859973
13796,WC9,2006-01-21,0.4904243496437261,2006,1,0.1990035532354185
13797,SW1,2006-01-21,0.2078189038144375,2006,1,0.4900107230547961
13798,SW2,2006-01-21,0.1578709710953509,2006,1,0.7504008335350694
13799,WC10,2006-01-21,0.3109897602149699,2006,1,0.2369018529342773
13800,WC14,2006-01-21,0.2973429765949883,2006,1,0.7148992474489277
13801,WC7,2006-01-21,0.485594066750576,2006,1,0.6897433352130773
13802,WC27,2006-01-21,0.3070600214337448,2006,1,0.4027692923633352
9719,WC2,2006-01-21,0.3887992879016103,2006,1,0.224136685192995
9760,WC27,2006-01-21,0.3029793123845128,2006,1,0.4027692923633352
9759,WC7,2006-01-21,0.4810694005240181,2006,1,0.6897433352130773
13782,WC16,2006-01-21,0.5531119029526558,2006,1,0.2744562134024172
9757,WC10,2006-01-21,0.3062208996309975,2006,1,0.2369018529342773
9752,WC21,2006-01-21,0.1646897753728278,2006,1,0.7681735239420353
9749,WC24,2006-01-21,0.3728990807814061,2006,1,0.5059141956542218
9748,WC22,2006-01-21,0.3388853622986154,2006,1,0.202330985624951
