,Year,Model,Metric,Yield
0,2015,XGBoost Leave-One-Year-Out,RMSE,25.39605577793642
1,2015,XGBoost Leave-One-Year-Out,PBIAS,1.4036892693600265
2,2015,XGBoost Leave-One-Year-Out,NMAE,6.836450769837458
3,2016,XGBoost Leave-One-Year-Out,RMSE,25.06658957522446
4,2016,XGBoost Leave-One-Year-Out,PBIAS,-0.4334432229771167
5,2016,XGBoost Leave-One-Year-Out,NMAE,5.565202124600498
6,2017,XGBoost Leave-One-Year-Out,RMSE,23.27521439750689
7,2017,XGBoost Leave-One-Year-Out,PBIAS,-0.6915909538351723
8,2017,XGBoost Leave-One-Year-Out,NMAE,4.977035410675996
9,2018,XGBoost Leave-One-Year-Out,RMSE,34.64956692026682
10,2018,XGBoost Leave-One-Year-Out,PBIAS,-2.0357957254526875
11,2018,XGBoost Leave-One-Year-Out,NMAE,7.223823293421305
12,2019,XGBoost Leave-One-Year-Out,RMSE,34.052093364074906
13,2019,XGBoost Leave-One-Year-Out,PBIAS,0.42970777320103676
14,2019,XGBoost Leave-One-Year-Out,NMAE,7.764698450695625
15,2020,XGBoost Leave-One-Year-Out,RMSE,36.192279173436894
16,2020,XGBoost Leave-One-Year-Out,PBIAS,0.2905032532915643
17,2020,XGBoost Leave-One-Year-Out,NMAE,6.138353847561836
18,2021,XGBoost Leave-One-Year-Out,RMSE,30.440554449132076
19,2021,XGBoost Leave-One-Year-Out,PBIAS,-0.26350664948372704
20,2021,XGBoost Leave-One-Year-Out,NMAE,7.722221376033906
21,2022,XGBoost Leave-One-Year-Out,RMSE,37.04945804432284
22,2022,XGBoost Leave-One-Year-Out,PBIAS,1.518160204851087
23,2022,XGBoost Leave-One-Year-Out,NMAE,5.958447361473994
