,Year,Model,Metric,Yield
0,2008,XGBoost Leave-One-Year-Out,RMSE,0.7861024539785453
1,2008,XGBoost Leave-One-Year-Out,PBIAS,-1.153793221452347
2,2008,XGBoost Leave-One-Year-Out,NMAE,4.621373578621439
3,2009,XGBoost Leave-One-Year-Out,RMSE,0.9697009372520028
4,2009,XGBoost Leave-One-Year-Out,PBIAS,0.9293415696205297
5,2009,XGBoost Leave-One-Year-Out,NMAE,6.018929493759095
6,2010,XGBoost Leave-One-Year-Out,RMSE,0.5070670040244827
7,2010,XGBoost Leave-One-Year-Out,PBIAS,0.5223427909058799
8,2010,XGBoost Leave-One-Year-Out,NMAE,3.517613483092138
9,2011,XGBoost Leave-One-Year-Out,RMSE,0.537605661798254
10,2011,XGBoost Leave-One-Year-Out,PBIAS,-2.4348513290386755
11,2011,XGBoost Leave-One-Year-Out,NMAE,4.150427281344711
12,2012,XGBoost Leave-One-Year-Out,RMSE,0.5025185597794748
13,2012,XGBoost Leave-One-Year-Out,PBIAS,0.20784084199640734
14,2012,XGBoost Leave-One-Year-Out,NMAE,4.437602485838108
15,2013,XGBoost Leave-One-Year-Out,RMSE,0.8055713291111973
16,2013,XGBoost Leave-One-Year-Out,PBIAS,3.277664768368576
17,2013,XGBoost Leave-One-Year-Out,NMAE,5.373259662799328
18,2014,XGBoost Leave-One-Year-Out,RMSE,0.6200411602894016
19,2014,XGBoost Leave-One-Year-Out,PBIAS,1.6344974898445082
20,2014,XGBoost Leave-One-Year-Out,NMAE,3.3571055181791616
21,2015,XGBoost Leave-One-Year-Out,RMSE,0.5889323435138943
22,2015,XGBoost Leave-One-Year-Out,PBIAS,1.0836266789157987
23,2015,XGBoost Leave-One-Year-Out,NMAE,3.759603376964586
24,2016,XGBoost Leave-One-Year-Out,RMSE,0.9906803137647288
25,2016,XGBoost Leave-One-Year-Out,PBIAS,2.4418339102778313
26,2016,XGBoost Leave-One-Year-Out,NMAE,5.708488029171655
27,2017,XGBoost Leave-One-Year-Out,RMSE,0.7962570784092198
28,2017,XGBoost Leave-One-Year-Out,PBIAS,-0.6782749162833133
29,2017,XGBoost Leave-One-Year-Out,NMAE,5.477859604959694
30,2018,XGBoost Leave-One-Year-Out,RMSE,0.5055208480260018
31,2018,XGBoost Leave-One-Year-Out,PBIAS,-1.0052694533124047
32,2018,XGBoost Leave-One-Year-Out,NMAE,2.435340556932307
33,2019,XGBoost Leave-One-Year-Out,RMSE,1.3059042029283152
34,2019,XGBoost Leave-One-Year-Out,PBIAS,-0.46123601497802713
35,2019,XGBoost Leave-One-Year-Out,NMAE,7.913411034074949
36,2020,XGBoost Leave-One-Year-Out,RMSE,1.4787855053053391
37,2020,XGBoost Leave-One-Year-Out,PBIAS,-1.4610243659851918
38,2020,XGBoost Leave-One-Year-Out,NMAE,11.500740272094243
39,2021,XGBoost Leave-One-Year-Out,RMSE,1.1730503235895726
40,2021,XGBoost Leave-One-Year-Out,PBIAS,-3.969646003081459
41,2021,XGBoost Leave-One-Year-Out,NMAE,4.936564782003284
42,2022,XGBoost Leave-One-Year-Out,RMSE,1.1435587904846176
43,2022,XGBoost Leave-One-Year-Out,PBIAS,2.29712353129804
44,2022,XGBoost Leave-One-Year-Out,NMAE,6.462516652337848
