,FieldID,Model,Metric,Irrigation
0,NB1,XGBoost Full,RMSE,24.92067577306219
1,NB1,XGBoost Full,PBIAS,1.8782051775649742
2,NB1,XGBoost Full,NMAE,5.925979724466428
3,NC1,XGBoost Full,RMSE,14.162217956442957
4,NC1,XGBoost Full,PBIAS,-1.324795218622128
5,NC1,XGBoost Full,NMAE,6.950603771602339
6,NC2,XGBoost Full,RMSE,41.31283983715594
7,NC2,XGBoost Full,PBIAS,-20.588921941355274
8,NC2,XGBoost Full,NMAE,20.588921941355274
9,NW1,XGBoost Full,RMSE,20.712128347132257
10,NW1,XGBoost Full,PBIAS,-0.8448025033024746
11,NW1,XGBoost Full,NMAE,5.01598670614282
12,NW2,XGBoost Full,RMSE,35.72496034328571
13,NW2,XGBoost Full,PBIAS,-4.419664539728129
14,NW2,XGBoost Full,NMAE,9.945955373597888
15,NW3,XGBoost Full,RMSE,39.0135525604366
16,NW3,XGBoost Full,PBIAS,0.7564579161470327
17,NW3,XGBoost Full,NMAE,10.178335591106263
18,NW4,XGBoost Full,RMSE,37.96178136840093
19,NW4,XGBoost Full,PBIAS,3.352492916153203
20,NW4,XGBoost Full,NMAE,8.728437389601954
21,NW5,XGBoost Full,RMSE,35.17924702321241
22,NW5,XGBoost Full,PBIAS,-2.648373210927854
23,NW5,XGBoost Full,NMAE,9.605731667509783
24,NW6,XGBoost Full,RMSE,0.4365874968750063
25,NW6,XGBoost Full,PBIAS,-0.11304159760995812
26,NW6,XGBoost Full,NMAE,0.11304159760995812
27,NW7,XGBoost Full,RMSE,26.409179628069385
28,NW7,XGBoost Full,PBIAS,1.045605906674453
29,NW7,XGBoost Full,NMAE,6.440314243975457
30,SW1,XGBoost Full,RMSE,36.60010967183414
31,SW1,XGBoost Full,PBIAS,4.553056127214561
32,SW1,XGBoost Full,NMAE,6.533586694778443
33,WC1,XGBoost Full,RMSE,22.663715576086055
34,WC1,XGBoost Full,PBIAS,4.106423287621242
35,WC1,XGBoost Full,NMAE,5.84572480819301
36,WC11,XGBoost Full,RMSE,13.423622802734371
37,WC11,XGBoost Full,PBIAS,3.580549368034049
38,WC11,XGBoost Full,NMAE,3.580549368034049
39,WC16,XGBoost Full,RMSE,41.389363037109376
40,WC16,XGBoost Full,PBIAS,-16.443011925085365
41,WC16,XGBoost Full,NMAE,16.443011925085365
42,WC19,XGBoost Full,RMSE,7.779373779296861
43,WC19,XGBoost Full,PBIAS,1.505034684226211
44,WC19,XGBoost Full,NMAE,1.505034684226211
45,WC2,XGBoost Full,RMSE,20.118817871093768
46,WC2,XGBoost Full,PBIAS,7.091131994125775
47,WC2,XGBoost Full,NMAE,7.091131994125775
48,WC21,XGBoost Full,RMSE,8.267387939453101
49,WC21,XGBoost Full,PBIAS,2.2157094224077394
50,WC21,XGBoost Full,NMAE,2.2157094224077394
51,WC22,XGBoost Full,RMSE,33.16319981457509
52,WC22,XGBoost Full,PBIAS,-10.848286384728674
53,WC22,XGBoost Full,NMAE,10.848286384728675
54,WC23,XGBoost Full,RMSE,64.81938403320314
55,WC23,XGBoost Full,PBIAS,-29.434189772499586
56,WC23,XGBoost Full,NMAE,29.434189772499586
57,WC24,XGBoost Full,RMSE,4.748546874999988
58,WC24,XGBoost Full,PBIAS,1.1181259830746308
59,WC24,XGBoost Full,NMAE,1.1181259830746308
60,WC25,XGBoost Full,RMSE,20.59402001953123
61,WC25,XGBoost Full,PBIAS,-6.404330092775069
62,WC25,XGBoost Full,NMAE,6.404330092775069
63,WC3,XGBoost Full,RMSE,21.436346679687517
64,WC3,XGBoost Full,PBIAS,-7.429143104582843
65,WC3,XGBoost Full,NMAE,7.429143104582843
66,WC4,XGBoost Full,RMSE,9.509676757812485
67,WC4,XGBoost Full,PBIAS,-2.5451850628723522
68,WC4,XGBoost Full,NMAE,2.5451850628723522
69,WC5,XGBoost Full,RMSE,32.25193999254169
70,WC5,XGBoost Full,PBIAS,0.6051567133180588
71,WC5,XGBoost Full,NMAE,8.451912756701507
72,WC6,XGBoost Full,RMSE,6.501541748046861
73,WC6,XGBoost Full,PBIAS,2.2066052633881554
74,WC6,XGBoost Full,NMAE,2.2066052633881554
75,WC8,XGBoost Full,RMSE,27.809799853353248
76,WC8,XGBoost Full,PBIAS,5.701442356541663
77,WC8,XGBoost Full,NMAE,5.701442356541663
78,WC9,XGBoost Full,RMSE,55.05103247070315
79,WC9,XGBoost Full,PBIAS,14.156521770728602
80,WC9,XGBoost Full,NMAE,14.156521770728602
