,FieldID,Model,Metric,Yield
0,NB1,XGBoost Full,RMSE,0.509128281937878
1,NB1,XGBoost Full,PBIAS,0.07310097274583638
2,NB1,XGBoost Full,NMAE,4.473556640212738
3,NC1,XGBoost Full,RMSE,0.34563935454892586
4,NC1,XGBoost Full,PBIAS,-1.3917789634787892
5,NC1,XGBoost Full,NMAE,1.5374205686134026
6,NC2,XGBoost Full,RMSE,0.4675985315637324
7,NC2,XGBoost Full,PBIAS,1.7919374655122662
8,NC2,XGBoost Full,NMAE,2.227334409172579
9,NW1,XGBoost Full,RMSE,0.8326693679409565
10,NW1,XGBoost Full,PBIAS,-1.2929419054874438
11,NW1,XGBoost Full,NMAE,6.715143941188742
12,NW2,XGBoost Full,RMSE,0.6683744106940473
13,NW2,XGBoost Full,PBIAS,0.8103777225220674
14,NW2,XGBoost Full,NMAE,4.7968685321070845
15,NW3,XGBoost Full,RMSE,0.6511672977279275
16,NW3,XGBoost Full,PBIAS,-2.0993902169329512
17,NW3,XGBoost Full,NMAE,4.3657826851635315
18,NW4,XGBoost Full,RMSE,0.4941480120556203
19,NW4,XGBoost Full,PBIAS,0.5612205915083609
20,NW4,XGBoost Full,NMAE,2.992295550279774
21,NW5,XGBoost Full,RMSE,0.7189527194189387
22,NW5,XGBoost Full,PBIAS,-0.20210394109852262
23,NW5,XGBoost Full,NMAE,4.754558576362242
24,NW6,XGBoost Full,RMSE,0.26560528969295577
25,NW6,XGBoost Full,PBIAS,0.7758664080937461
26,NW6,XGBoost Full,NMAE,1.8057688065282045
27,NW7,XGBoost Full,RMSE,0.5253240044385274
28,NW7,XGBoost Full,PBIAS,1.8561880784237201
29,NW7,XGBoost Full,NMAE,3.171606708428209
