,Unnamed: 0,Year,Model,Metric,Irrigation
0,21.0,2015,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE (mm),51.53592334841479
1,22.0,2015,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS (%),-13.248014549704846
2,23.0,2015,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE (%),14.821448692309302
3,24.0,2016,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE (mm),36.9044546386115
4,25.0,2016,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS (%),5.877494590690941
5,26.0,2016,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE (%),8.261846303863411
6,27.0,2017,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE (mm),38.40400002250517
7,28.0,2017,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS (%),2.504618305452023
8,29.0,2017,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE (%),7.6093860279026355
9,30.0,2018,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE (mm),86.03291002428693
10,31.0,2018,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS (%),16.40754554231597
11,32.0,2018,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE (%),20.421479051414064
12,33.0,2019,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE (mm),35.69329935310409
13,34.0,2019,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS (%),1.8101766414551057
14,35.0,2019,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE (%),7.988550629199584
15,36.0,2020,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE (mm),69.97957998842722
16,37.0,2020,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS (%),-11.83339692550664
17,38.0,2020,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE (%),11.833396927037048
18,39.0,2021,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE (mm),99.37525845010126
19,40.0,2021,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS (%),-25.14092933380737
20,41.0,2021,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE (%),25.14092933380737
21,42.0,2022,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE (mm),37.54363363640968
22,43.0,2022,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS (%),-6.416305830978075
23,44.0,2022,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE (%),6.416305834050343
0,0.0,2015,XGBoost Full,RMSE (mm),29.77585522560406
1,1.0,2015,XGBoost Full,PBIAS (%),-1.8708195038156756
2,2.0,2015,XGBoost Full,NMAE (%),8.428478504696574
3,3.0,2016,XGBoost Full,RMSE (mm),27.64594865717342
4,4.0,2016,XGBoost Full,PBIAS (%),0.5644507525197182
5,5.0,2016,XGBoost Full,NMAE (%),7.195526628352727
6,6.0,2017,XGBoost Full,RMSE (mm),27.89325802512352
7,7.0,2017,XGBoost Full,PBIAS (%),-0.9629897076604996
8,8.0,2017,XGBoost Full,NMAE (%),7.762135452714216
9,9.0,2018,XGBoost Full,RMSE (mm),36.25710367288239
10,10.0,2018,XGBoost Full,PBIAS (%),1.5277434861312709
11,11.0,2018,XGBoost Full,NMAE (%),7.775332849419595
12,12.0,2019,XGBoost Full,RMSE (mm),35.76424851372737
13,13.0,2019,XGBoost Full,PBIAS (%),-0.0522018177087496
14,14.0,2019,XGBoost Full,NMAE (%),9.266338043299836
15,15.0,2020,XGBoost Full,RMSE (mm),31.773009734754147
16,16.0,2020,XGBoost Full,PBIAS (%),0.2732875548950208
17,17.0,2020,XGBoost Full,NMAE (%),6.597770574643332
18,18.0,2021,XGBoost Full,RMSE (mm),27.83381888234632
19,19.0,2021,XGBoost Full,PBIAS (%),0.2975480509035846
20,20.0,2021,XGBoost Full,NMAE (%),8.546591105258052
21,21.0,2022,XGBoost Full,RMSE (mm),35.4455139705574
22,22.0,2022,XGBoost Full,PBIAS (%),-1.9057882761863996
23,23.0,2022,XGBoost Full,NMAE (%),7.89666890325551
0,,2015,XGBoost Leave-One-Year-Out,RMSE (mm),44.57565209399139
1,,2015,XGBoost Leave-One-Year-Out,PBIAS (%),-6.895861433635575
2,,2015,XGBoost Leave-One-Year-Out,NMAE (%),12.559934159944035
3,,2016,XGBoost Leave-One-Year-Out,RMSE (mm),40.82445676087467
4,,2016,XGBoost Leave-One-Year-Out,PBIAS (%),4.011487183397877
5,,2016,XGBoost Leave-One-Year-Out,NMAE (%),10.487610530202886
6,,2017,XGBoost Leave-One-Year-Out,RMSE (mm),41.22449950311157
7,,2017,XGBoost Leave-One-Year-Out,PBIAS (%),-3.9487882514918042
8,,2017,XGBoost Leave-One-Year-Out,NMAE (%),12.421456720868896
9,,2018,XGBoost Leave-One-Year-Out,RMSE (mm),52.40425462696191
10,,2018,XGBoost Leave-One-Year-Out,PBIAS (%),7.205109757884414
11,,2018,XGBoost Leave-One-Year-Out,NMAE (%),12.617403549960335
12,,2019,XGBoost Leave-One-Year-Out,RMSE (mm),58.24711532854017
13,,2019,XGBoost Leave-One-Year-Out,PBIAS (%),-0.5100129222537148
14,,2019,XGBoost Leave-One-Year-Out,NMAE (%),15.236661079787659
15,,2020,XGBoost Leave-One-Year-Out,RMSE (mm),78.89901432806032
16,,2020,XGBoost Leave-One-Year-Out,PBIAS (%),-7.958296416445805
17,,2020,XGBoost Leave-One-Year-Out,NMAE (%),17.594965106517513
18,,2021,XGBoost Leave-One-Year-Out,RMSE (mm),36.61378952494143
19,,2021,XGBoost Leave-One-Year-Out,PBIAS (%),-2.2132715210536116
20,,2021,XGBoost Leave-One-Year-Out,NMAE (%),11.41371044368523
21,,2022,XGBoost Leave-One-Year-Out,RMSE (mm),74.37738929757754
22,,2022,XGBoost Leave-One-Year-Out,PBIAS (%),-5.106293269974427
23,,2022,XGBoost Leave-One-Year-Out,NMAE (%),15.610686423038715
