,Reported_Yield,Reported_Irrigation,Year,FieldID
84,,373.634,2020,WC4
71,,373.126,2016,WC21
51,,436.7543701,2018,SW1
52,,409.6183171,2019,SW1
96,14.16576525,331.4203702,2015,NW4
93,10.32707421,265.206609,2015,NW1
75,,281.686,2020,WC22
28,6.62086778,341.6010426,2020,NW3
65,,516.89,2020,WC19
95,13.66339976,279.7381513,2015,NW3
18,9.406407073,266.6232128,2017,NW2
25,12.44750043,292.1521234,2017,NW3
41,4.621493487,328.6845495,2020,NW5
94,12.14890568,288.8900489,2015,NW2
53,,588.4081792,2020,SW1
47,16.56730094,418.9401049,2021,NW7
27,9.676756372,302.8272813,2019,NW3
22,13.50266971,284.0329125,2021,NW2
32,15.00774864,333.8974424,2018,NW4
74,,269.24,2018,WC22
73,,299.974,2016,WC22
26,14.16912781,402.2633694,2018,NW3
7,17.357501,214.122,2021,NC1
0,12.42867013,300.984585,2016,NB1
11,7.686124718,294.1983728,2016,NW1
54,,524.0662904,2022,SW1
46,14.69301364,390.5812131,2020,NW7
35,13.10252585,381.2992593,2021,NW4
21,11.6593179,407.117048,2020,NW2
59,,374.904,2016,WC11
67,,283.718,2019,WC2
23,10.08833292,457.3548893,2022,NW2
37,11.51069303,287.1446957,2016,NW5
40,12.68893177,263.7774275,2019,NW5
81,,288.544,2019,WC3
49,,437.7484481,2016,SW1
76,,220.218,2019,WC23
43,16.87396582,386.2184418,2018,NW6
50,,405.2701742,2017,SW1
61,,251.714,2020,WC16
91,,544.068,2020,WC8
17,12.05878925,257.7089484,2016,NW2
6,8.145449522,453.6148092,2022,NB1
34,12.5712424,433.9664659,2020,NW4
36,8.379483244,353.3052722,2022,NW4
97,11.96463775,342.2725775,2015,NW5
90,,424.434,2016,WC8
33,11.80659774,373.7486373,2019,NW4
98,12.58469261,362.7135073,2015,NB1
24,12.29618552,356.6780321,2016,NW3
14,12.44413788,453.6585705,2020,NW1
12,8.164279822,289.394254,2017,NW1
29,14.70242879,513.3620397,2022,NW3
109,10.43131337,,2011,NB1
140,12.54770452,,2014,NW5
120,10.90207086,,2011,NW2
113,12.13814551,,2009,NW1
123,11.55037116,,2014,NW2
106,10.0681576,,2009,NW7
108,14.64526538,,2013,NW7
2,13.10118082,369.860074,2018,NB1
112,12.43001515,,2014,NB1
31,13.66743483,382.4909775,2017,NW4
107,12.08232712,,2010,NW7
105,10.54833023,,2008,NW7
20,13.91357374,358.6291625,2019,NW2
9,18.52766961,194.818,2021,NC2
116,6.536803943,,2013,NW1
30,12.98954405,345.4474051,2016,NW4
117,10.2947937,,2014,NW1
42,14.40450655,390.011099,2022,NW5
4,8.171677439,342.5637282,2020,NB1
118,12.7978785,,2008,NW2
131,10.87113536,,2010,NW4
114,10.01435674,,2010,NW1
115,6.027040837,,2012,NW1
125,10.76824123,,2010,NW3
135,12.65597875,,2008,NW5
130,10.53488002,,2009,NW4
132,9.220121611,,2012,NW4
5,10.24771795,286.76703,2021,NB1
104,11.99221069,,2012,NW6
111,8.813925152,,2013,NB1
129,13.42264094,,2008,NW4
110,6.454757638,,2012,NB1
122,6.129934973,,2013,NW2
138,8.400331075,,2012,NW5
103,13.175157,,2011,NW6
128,13.29620893,,2014,NW3
127,6.99881879,,2012,NW3
124,12.07425699,,2009,NW3
