,Year,Model,Metric,Irrigation
0,2015,XGBoost Full,RMSE,29.77585522560406
1,2015,XGBoost Full,PBIAS,-1.8708195038156754
2,2015,XGBoost Full,NMAE,8.428478504696574
3,2016,XGBoost Full,RMSE,27.64594865717342
4,2016,XGBoost Full,PBIAS,0.5644507525197182
5,2016,XGBoost Full,NMAE,7.195526628352727
6,2017,XGBoost Full,RMSE,27.893258025123522
7,2017,XGBoost Full,PBIAS,-0.9629897076604995
8,2017,XGBoost Full,NMAE,7.762135452714216
9,2018,XGBoost Full,RMSE,36.25710367288239
10,2018,XGBoost Full,PBIAS,1.5277434861312709
11,2018,XGBoost Full,NMAE,7.775332849419595
12,2019,XGBoost Full,RMSE,35.76424851372737
13,2019,XGBoost Full,PBIAS,-0.05220181770874965
14,2019,XGBoost Full,NMAE,9.266338043299836
15,2020,XGBoost Full,RMSE,31.773009734754147
16,2020,XGBoost Full,PBIAS,0.2732875548950208
17,2020,XGBoost Full,NMAE,6.597770574643332
18,2021,XGBoost Full,RMSE,27.833818882346318
19,2021,XGBoost Full,PBIAS,0.2975480509035846
20,2021,XGBoost Full,NMAE,8.546591105258052
21,2022,XGBoost Full,RMSE,35.4455139705574
22,2022,XGBoost Full,PBIAS,-1.9057882761863993
23,2022,XGBoost Full,NMAE,7.89666890325551
