,Year,Model,Metric,Yield
0,2008,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE,1.248724275122943
1,2008,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS,3.128822491780785
2,2008,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE,9.637242261246296
3,2009,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE,2.526113672613424
4,2009,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS,-20.875178036032015
5,2009,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE,20.875178036032015
6,2010,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE,1.4692079058844059
7,2010,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS,-11.765626994179343
8,2010,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE,11.765626994179343
9,2011,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE,1.2591061309388334
10,2011,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS,4.039920435001667
11,2011,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE,8.083998867623002
12,2012,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE,4.918307407419938
13,2012,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS,46.930325771968796
14,2012,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE,46.930325771968796
15,2013,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE,2.3874222359356225
16,2013,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS,20.595625015932676
17,2013,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE,20.595625015932676
18,2014,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE,1.222542744074624
19,2014,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS,-5.229782212348089
20,2014,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE,7.389564484521555
21,2015,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE,1.3762823891809528
22,2015,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS,-1.8274745538789199
23,2015,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE,8.465618303027869
24,2016,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE,2.0209783823099374
25,2016,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS,-8.545609107222996
26,2016,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE,10.231814271808858
27,2017,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE,2.89583093792889
28,2017,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS,-17.129593357519795
29,2017,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE,21.060058759408633
30,2018,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE,2.110401417629202
31,2018,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS,10.764477499942082
32,2018,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE,10.764477499942082
33,2019,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE,1.5717062430392401
34,2019,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS,-2.1586357378487504
35,2019,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE,10.664573656158382
36,2020,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE,4.0783109718011925
37,2020,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS,-6.7496087167538885
38,2020,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE,29.58265289872505
39,2021,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE,3.949722262291289
40,2021,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS,19.401247560770962
41,2021,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE,22.836433110188423
42,2022,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE,7.264935525369065
43,2022,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS,53.57269319020805
44,2022,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE,53.57269319020805
