,Year,Model,Metric,Yield
0,2008,XGBoost Full,RMSE,0.3204340088763143
1,2008,XGBoost Full,PBIAS,0.22542273502318777
2,2008,XGBoost Full,NMAE,2.115624081038394
3,2009,XGBoost Full,RMSE,0.51736994473813
4,2009,XGBoost Full,PBIAS,1.069611242241861
5,2009,XGBoost Full,NMAE,4.131754491168479
6,2010,XGBoost Full,RMSE,0.3949068747360535
7,2010,XGBoost Full,PBIAS,-0.7106979247790564
8,2010,XGBoost Full,NMAE,3.13743153393135
9,2011,XGBoost Full,RMSE,0.494503951884399
10,2011,XGBoost Full,PBIAS,2.6267551279147736
11,2011,XGBoost Full,NMAE,3.636490520047838
12,2012,XGBoost Full,RMSE,0.4145114038112145
13,2012,XGBoost Full,PBIAS,-0.0460529615858858
14,2012,XGBoost Full,NMAE,3.8414520325918584
15,2013,XGBoost Full,RMSE,0.4188366114535238
16,2013,XGBoost Full,PBIAS,-1.4629729241397667
17,2013,XGBoost Full,NMAE,3.2022178461980637
18,2014,XGBoost Full,RMSE,0.4353631543546555
19,2014,XGBoost Full,PBIAS,-0.5495028327741011
20,2014,XGBoost Full,NMAE,2.7762247351358464
21,2015,XGBoost Full,RMSE,0.5026397230611789
22,2015,XGBoost Full,PBIAS,-1.0367262894823912
23,2015,XGBoost Full,NMAE,3.480565470170466
24,2016,XGBoost Full,RMSE,0.8844696654664382
25,2016,XGBoost Full,PBIAS,-3.4644013830044993
26,2016,XGBoost Full,NMAE,5.7534306603272345
27,2017,XGBoost Full,RMSE,0.5810920218532661
28,2017,XGBoost Full,PBIAS,1.2112918926223033
29,2017,XGBoost Full,NMAE,4.201954870273766
30,2018,XGBoost Full,RMSE,0.41994600921850117
31,2018,XGBoost Full,PBIAS,-0.11556891594378248
32,2018,XGBoost Full,NMAE,2.4386745502811085
33,2019,XGBoost Full,RMSE,0.91194570678815
34,2019,XGBoost Full,PBIAS,-0.2659701479250434
35,2019,XGBoost Full,NMAE,6.648712294808307
36,2020,XGBoost Full,RMSE,1.1593301092637647
37,2020,XGBoost Full,PBIAS,0.8716221351650811
38,2020,XGBoost Full,NMAE,10.136890835897406
39,2021,XGBoost Full,RMSE,0.599231175969577
40,2021,XGBoost Full,PBIAS,2.91446655193505
41,2021,XGBoost Full,NMAE,3.0712996558707206
42,2022,XGBoost Full,RMSE,0.5904911154337548
43,2022,XGBoost Full,PBIAS,-1.654728769124087
44,2022,XGBoost Full,NMAE,4.386298710044887
